"","country","medal","category","count"
"236","Spain","Bronze","Women",0
"237","New Zealand","Bronze","Women",1
"238","Kazakhstan","Bronze","Women",1
"239","Latvia","Bronze","Women",0
"240","Liechtenstein","Bronze","Women",1
"241","Norway","Bronze","Co-ed",2
"242","Germany","Bronze","Co-ed",1
"243","Canada","Bronze","Co-ed",1
"244","United States","Bronze","Co-ed",2
"245","Netherlands","Bronze","Co-ed",0
"246","Sweden","Bronze","Co-ed",0
"247","Republic of Korea","Bronze","Co-ed",0
"248","Switzerland","Bronze","Co-ed",0
"249","France","Bronze","Co-ed",0
"250","Austria","Bronze","Co-ed",1
"251","Japan","Bronze","Co-ed",0
"252","Italy","Bronze","Co-ed",1
"253","OAR","Bronze","Co-ed",0
"254","Czech Republic","Bronze","Co-ed",0
"255","Belarus","Bronze","Co-ed",0
"256","China","Bronze","Co-ed",0
"257","Slovakia","Bronze","Co-ed",0
"258","Finland","Bronze","Co-ed",0
"259","Great Britain","Bronze","Co-ed",0
"260","Poland","Bronze","Co-ed",0
"261","Hungary","Bronze","Co-ed",0
"262","Ukraine","Bronze","Co-ed",0
"263","Australia","Bronze","Co-ed",0
"264","Slovenia","Bronze","Co-ed",0
"265","Belgium","Bronze","Co-ed",0
"266","Spain","Bronze","Co-ed",0
"267","New Zealand","Bronze","Co-ed",0
"268","Kazakhstan","Bronze","Co-ed",0
"269","Latvia","Bronze","Co-ed",0
"270","Liechtenstein","Bronze","Co-ed",0
